date,요일,캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),소비자물가지수,자동차용경유,재배지역_평균기온,재배지역_평균운량,재배지역_일강수량,재배지역_일교차,샤인마스캇_거래량(kg),수출(중량),수출(금액),수입(중량),수입(금액),재배면적(ha),최저시급,경제활동인구,실업률 (%)
2016-01-01,금요일,0.0,0.0,95.232,1188.71,0.3,1.11,0.0,12.05,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-02,토요일,880.0,2014.0,95.232,1187.91,3.61,1.31,0.0,13.11,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-03,일요일,0.0,0.0,95.232,1187.1,4.66,1.54,0.0,13.8,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-04,월요일,2703.8,3885.0,95.232,1185.85,4.72,0.92,0.0,10.44,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-05,화요일,8810.0,2853.0,95.232,1184.01,0.14,0.68,0.0,7.07,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-06,수요일,7487.0,2119.0,95.232,1182.44,0.36,1.13,0.0,10.43,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-07,목요일,4687.8,2997.0,95.232,1180.44,0.61,0.29,0.0,6.44,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-08,금요일,4916.0,2734.0,95.232,1178.04,-0.28,0.41,0.0,7.64,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-09,토요일,1766.0,4773.0,95.232,1175.5,0.86,0.9,0.0,9.0,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-10,일요일,0.0,0.0,95.232,1174.3,1.69,0.64,0.0,9.89,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-11,월요일,2039.8,2133.0,95.232,1172.86,-0.69,0.31,0.0,9.01,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-12,화요일,920.0,3072.0,95.232,1170.17,-2.34,0.33,0.0,11.16,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-13,수요일,2674.8,2261.0,95.232,1167.57,-1.49,1.09,0.86,6.79,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-14,목요일,1840.4,2567.0,95.232,1164.76,-1.68,0.72,0.16,9.12,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-15,금요일,836.4,6504.0,95.232,1161.8,-0.5,0.51,0.04,12.05,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-16,토요일,1355.0,1531.0,95.232,1158.36,0.92,1.52,0.04,11.61,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-17,일요일,0.0,0.0,95.232,1156.54,1.17,1.33,2.63,6.23,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-18,월요일,1918.8,4871.0,95.232,1154.25,-2.19,1.05,0.86,9.65,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-19,화요일,1833.0,1674.0,95.232,1150.54,-7.77,0.08,0.28,4.76,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-20,수요일,442.8,3171.0,95.232,1147.64,-7.1,0.53,0.0,8.24,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-21,목요일,897.6,2917.0,95.232,1144.35,-5.02,0.88,0.0,7.78,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-22,금요일,1632.0,1848.0,95.232,1140.8,-4.63,1.05,0.0,10.59,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-23,토요일,164.0,1707.0,95.232,1137.97,-7.38,0.84,0.0,7.56,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-24,일요일,0.0,0.0,95.232,1136.39,-11.31,0.0,2.18,6.21,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-25,월요일,934.8,3415.0,95.232,1135.33,-7.09,0.2,0.0,13.45,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-26,화요일,533.0,3415.0,95.232,1131.93,-2.23,1.13,0.16,10.45,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
2016-01-27,수요일,1151.8,2674.0,95.232,1128.92,-0.1,0.53,0.0,11.54,0.0,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,6030.0,918310,0.13
