,date,요일,대파_거래량(kg),대파_가격(원/kg),대파_거래량의_1주전_평균,대파_가격의_1주전_평균,대파_거래량의_2주전_평균,대파_가격의_2주전_평균,계절_가을,계절_겨울,계절_봄,계절_여름
0,2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,2016-01-02,토요일,92334.0,1704.0,92334.0,1704.0,92334.0,1704.0,0,1,0,0
2,2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3,2016-01-04,월요일,994328.1,1716.0,994328.1,1716.0,994328.1,1716.0,0,1,0,0
4,2016-01-05,화요일,787716.0,1715.0,787716.0,1715.0,787716.0,1715.0,0,1,0,0
5,2016-01-06,수요일,793584.9,1620.0,793584.9,1620.0,793584.9,1620.0,0,1,0,0
6,2016-01-07,목요일,733312.0,1545.0,733312.0,1545.0,733312.0,1545.0,0,1,0,0
7,2016-01-08,금요일,797767.3,1488.0,797767.3,1488.0,797767.3,1488.0,0,1,0,0
8,2016-01-09,토요일,739213.0,1433.0,739213.0,1433.0,739213.0,1433.0,0,1,0,0
9,2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
10,2016-01-11,월요일,904317.5,1323.0,807653.5499999999,1586.1666666666667,904317.5,1323.0,0,1,0,0
11,2016-01-12,화요일,773384.3,1321.0,807653.5499999999,1586.1666666666667,773384.3,1321.0,0,1,0,0
12,2016-01-13,수요일,657071.5,1263.0,807653.5499999999,1586.1666666666667,657071.5,1263.0,0,1,0,0
13,2016-01-14,목요일,583850.6,1361.0,807653.5499999999,1586.1666666666667,583850.6,1361.0,0,1,0,0
14,2016-01-15,금요일,678290.4,1335.0,807653.5499999999,1586.1666666666667,678290.4,1335.0,0,1,0,0
15,2016-01-16,토요일,611784.6,1339.0,807653.5499999999,1586.1666666666667,611784.6,1339.0,0,1,0,0
16,2016-01-17,일요일,0.0,0.0,807653.5499999999,1586.1666666666667,0.0,0.0,0,1,0,0
17,2016-01-18,월요일,755733.9,1403.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
18,2016-01-19,화요일,529474.1,1777.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
19,2016-01-20,수요일,569452.9,1894.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
20,2016-01-21,목요일,557564.0,1841.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
21,2016-01-22,금요일,598422.6,1724.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
22,2016-01-23,토요일,600638.0,1959.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
23,2016-01-24,일요일,0.0,0.0,701449.8166666665,1323.6666666666667,754551.6833333332,1454.9166666666667,0,1,0,0
24,2016-01-25,월요일,579110.2,2499.0,601880.9166666666,1766.3333333333333,651665.3666666666,1545.0,0,1,0,0
25,2016-01-26,화요일,547262.1,2333.0,601880.9166666666,1766.3333333333333,651665.3666666666,1545.0,0,1,0,0
26,2016-01-27,수요일,551575.4,2460.0,601880.9166666666,1766.3333333333333,651665.3666666666,1545.0,0,1,0,0
27,2016-01-28,목요일,519336.6,2638.0,601880.9166666666,1766.3333333333333,651665.3666666666,1545.0,0,1,0,0
28,2016-01-29,금요일,626963.3,2830.0,601880.9166666666,1766.3333333333333,651665.3666666666,1545.0,0,1,0,0
