date,캠벨얼리_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_거래량의_1주전_평균,캠벨얼리_가격의_1주전_평균,캠벨얼리_거래량의_2주전_평균,캠벨얼리_가격의_2주전_평균,계절,요일_금요일,요일_목요일,요일_수요일,요일_월요일,요일_일요일,요일_토요일,요일_화요일
2016-01-01,0.0,-0.060779805381926816,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,2014.0,-0.049390305853361495,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-03,0.0,-0.060779805381926816,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-04,3885.0,-0.02578556808040987,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-05,2853.0,0.053244616034732795,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-06,2119.0,0.03612153890258289,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-07,2997.0,-0.00010742368873533434,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2734.0,0.002846080620831261,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,4773.0,-0.037923150646192325,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-10,0.0,-0.060779805381926816,-0.041710238539964146,-2.0104258702951046,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-11,2133.0,-0.03437946317923643,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-12,3072.0,-0.0488726013293358,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-13,2261.0,-0.026160903860328502,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-14,2567.0,-0.036960220231504526,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,6504.0,-0.0499546037845495,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,1531.0,-0.043242564630556354,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-17,0.0,-0.060779805381926816,-0.0029273658521572973,-0.29978794840077766,-0.0451412011748775,-2.0497834511055393,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-18,4871.0,-0.03594551936441416,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-19,1674.0,-0.03705599556844928,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-20,3171.0,-0.05504881630096235,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-21,2917.0,-0.04916251586279019,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,1848.0,-0.0396574608016784,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,1707.0,-0.05865721683342146,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-24,0.0,-0.060779805381926816,-0.029366367804798687,-0.41403074748188734,-0.016040377873867116,-0.34342375199452957,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-25,3415.0,-0.04868105065544629,-0.032914094122397444,-0.5801378335394946,-0.03310851917025911,-0.4880784134944155,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-26,3415.0,-0.053881392599284414,-0.032914094122397444,-0.5801378335394946,-0.03310851917025911,-0.4880784134944155,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-27,2674.0,-0.04587250361260689,-0.032914094122397444,-0.5801378335394946,-0.03310851917025911,-0.4880784134944155,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-28,843.0,-0.01022595861081757,-0.032914094122397444,-0.5801378335394946,-0.03310851917025911,-0.4880784134944155,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
